Code_recycling,Area,Year,Recycling_Rates,Per_Capita_Recycling,Per_Capita_Reuse,Area_km2,Population,Population_Density,Reuse_Facility_Density,Resource_Recovery_Efficiency,Reuse_Coverage,Number of Reuse Organisations,Number of Charity Shops - 2007,Re-use Activity Weight (tonnes),London_Status,Region_and_Borough,Postcode,recycling_ranking,Code_reuse
E09000004,Bexley,2013,55,0.232 %/person,NaN,60.6,236800,"3,908",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2014,54,0.225 %/person,NaN,60.6,240000,"3,960",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2015,52,0.215 %/person,NaN,60.6,242400,"4,000",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2016,53,0.216 %/person,NaN,60.6,245100,"4,045",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2017,52,0.211 %/person,NaN,60.6,246100,"4,061",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2018,54,0.218 %/person,NaN,60.6,247300,"4,081",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2019,54,0.217 %/person,NaN,60.6,248300,"4,097",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2020,50,0.200 %/person,NaN,60.6,249400,"4,116",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2021,43,0.172 %/person,NaN,60.6,250500,"4,134",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000004,Bexley,2022,44,0.175 %/person,NaN,60.6,251700,"4,153",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,DA1,A,00AE
E09000005,Brent,2003,10,0.031 %/person,NaN,43.2,321600,"7,444",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,E,00AF
E09000005,Brent,2004,14,0.044 %/person,NaN,43.2,320800,"7,426",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,E,00AF
E09000005,Brent,2005,20,0.063 %/person,NaN,43.2,319900,"7,405",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,E,00AF
E09000005,Brent,2006,22,0.069 %/person,NaN,43.2,319000,"7,384",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,E,00AF
E09000005,Brent,2007,21,0.066 %/person,0.120 kg,43.2,317800,"7,356",4.6%,88.0%,20.8%,2,9,38,Outer London,North West,NW1,E,00AF
E09000005,Brent,2008,28,0.088 %/person,NaN,43.2,316600,"7,329",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,D,00AF
E09000005,Brent,2009,29,0.092 %/person,NaN,43.2,315100,"7,294",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,D,00AF
E09000005,Brent,2010,33,0.108 %/person,NaN,43.2,304800,"7,056",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,C,00AF
E09000005,Brent,2011,37,0.119 %/person,NaN,43.2,312200,"7,227",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,B,00AF
E09000005,Brent,2012,43,0.137 %/person,NaN,43.2,314600,"7,282",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,A,00AF
E09000005,Brent,2013,41,0.129 %/person,NaN,43.2,317100,"7,340",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,B,00AF
E09000005,Brent,2014,35,0.109 %/person,NaN,43.2,320100,"7,410",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,C,00AF
E09000005,Brent,2015,36,0.111 %/person,NaN,43.2,323400,"7,486",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,B,00AF
E09000005,Brent,2016,36,0.110 %/person,NaN,43.2,326400,"7,556",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,B,00AF
E09000005,Brent,2017,37,0.112 %/person,NaN,43.2,329100,"7,618",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,B,00AF
E09000005,Brent,2018,37,0.112 %/person,NaN,43.2,330800,"7,657",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,B,00AF
E09000005,Brent,2019,34,0.103 %/person,NaN,43.2,329800,"7,634",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,C,00AF
E09000005,Brent,2020,33,0.099 %/person,NaN,43.2,331700,"7,678",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,C,00AF
E09000005,Brent,2021,38,0.114 %/person,NaN,43.2,332600,"7,699",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,B,00AF
E09000005,Brent,2022,33,0.099 %/person,NaN,43.2,333800,"7,727",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,North West,NW1,C,00AF
E09000006,Bromley,2003,20,0.060 %/person,NaN,150.0,334100,"2,227",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,E,00AG
E09000006,Bromley,2004,23,0.069 %/person,NaN,150.0,334400,"2,229",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,E,00AG
E09000006,Bromley,2005,27,0.081 %/person,NaN,150.0,334600,"2,231",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,D,00AG
E09000006,Bromley,2006,32,0.096 %/person,NaN,150.0,334700,"2,231",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,C,00AG
E09000006,Bromley,2007,34,0.102 %/person,0.911 kg,150.0,334800,"2,232",2.7%,203.3%,19.3%,4,29,305,Outer London,South East,BR1,C,00AG
E09000006,Bromley,2008,36,0.108 %/person,NaN,150.0,334700,"2,231",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,B,00AG
E09000006,Bromley,2009,40,0.120 %/person,NaN,150.0,334400,"2,229",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,B,00AG
E09000006,Bromley,2010,44,0.143 %/person,NaN,150.0,308600,"2,057",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000006,Bromley,2011,50,0.161 %/person,NaN,150.0,310600,"2,071",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000006,Bromley,2012,49,0.156 %/person,NaN,150.0,314000,"2,093",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000006,Bromley,2013,50,0.157 %/person,NaN,150.0,318200,"2,121",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000006,Bromley,2014,48,0.149 %/person,NaN,150.0,321600,"2,144",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000006,Bromley,2015,46,0.141 %/person,NaN,150.0,325300,"2,169",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000006,Bromley,2016,47,0.143 %/person,NaN,150.0,327600,"2,184",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000006,Bromley,2017,50,0.152 %/person,NaN,150.0,329400,"2,196",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000006,Bromley,2018,50,0.151 %/person,NaN,150.0,331100,"2,207",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000006,Bromley,2019,51,0.153 %/person,NaN,150.0,332300,"2,215",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000006,Bromley,2020,45,0.135 %/person,NaN,150.0,333800,"2,225",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000006,Bromley,2021,49,0.146 %/person,NaN,150.0,335400,"2,236",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000006,Bromley,2022,49,0.145 %/person,NaN,150.0,337000,"2,247",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South East,BR1,A,00AG
E09000007,Camden,2003,19,0.092 %/person,NaN,21.8,207600,"9,523",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,E,00AA
E09000007,Camden,2004,25,0.121 %/person,NaN,21.8,206800,"9,486",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,D,00AA
E09000007,Camden,2005,27,0.131 %/person,NaN,21.8,205900,"9,445",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,D,00AA
E09000007,Camden,2006,28,0.137 %/person,NaN,21.8,204800,"9,394",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,D,00AA
E09000007,Camden,2007,27,0.132 %/person,0.196 kg,21.8,204000,"9,358",4.6%,183.5%,128.4%,1,28,40,Core London,Central,WC2,D,00AA
E09000007,Camden,2008,28,0.138 %/person,NaN,21.8,203000,"9,312",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,D,00AA
E09000007,Camden,2009,30,0.149 %/person,NaN,21.8,201900,"9,261",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,C,00AA
E09000007,Camden,2010,32,0.149 %/person,NaN,21.8,214700,"9,849",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,C,00AA
E09000007,Camden,2011,33,0.150 %/person,NaN,21.8,220100,"10,096",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,C,00AA
E09000007,Camden,2012,31,0.138 %/person,NaN,21.8,224800,"10,312",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,C,00AA
E09000007,Camden,2013,29,0.126 %/person,NaN,21.8,230500,"10,573",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,D,00AA
E09000007,Camden,2014,26,0.110 %/person,NaN,21.8,236000,"10,826",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,D,00AA
E09000007,Camden,2015,25,0.103 %/person,NaN,21.8,243800,"11,183",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,D,00AA
E09000007,Camden,2016,27,0.108 %/person,NaN,21.8,249200,"11,431",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,D,00AA
E09000007,Camden,2017,30,0.118 %/person,NaN,21.8,253400,"11,624",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,C,00AA
E09000007,Camden,2018,31,0.118 %/person,NaN,21.8,262200,"12,028",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,C,00AA
E09000007,Camden,2019,26,0.096 %/person,NaN,21.8,270000,"12,385",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,D,00AA
E09000007,Camden,2020,29,0.106 %/person,NaN,21.8,273600,"12,550",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,D,00AA
E09000007,Camden,2021,28,0.102 %/person,NaN,21.8,275500,"12,638",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,D,00AA
E09000007,Camden,2022,28,0.101 %/person,NaN,21.8,277500,"12,729",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,WC2,D,00AA
E09000001,City of London,2003,8,2.051 %/person,NaN,2.9,3900,"1,345",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,E,00AB
E09000001,City of London,2004,14,3.590 %/person,NaN,2.9,3900,"1,345",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,E,00AB
E09000001,City of London,2005,18,4.737 %/person,NaN,2.9,3800,"1,310",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,E,00AB
E09000001,City of London,2006,28,7.368 %/person,NaN,2.9,3800,"1,310",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,D,00AB
E09000001,City of London,2007,33,8.684 %/person,0.526 kg,2.9,3800,"1,310",69.0%,69.0%,34.5%,2,1,2,Core London,Central,EC1,C,00AB
E09000001,City of London,2008,34,8.947 %/person,NaN,2.9,3800,"1,310",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,C,00AB
E09000001,City of London,2009,35,9.211 %/person,NaN,2.9,3800,"1,310",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,C,00AB
E09000001,City of London,2010,39,5.342 %/person,NaN,2.9,7300,"2,517",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,B,00AB
E09000001,City of London,2011,37,5.000 %/person,NaN,2.9,7400,"2,552",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,B,00AB
E09000001,City of London,2012,36,5.455 %/person,NaN,2.9,6600,"2,276",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,B,00AB
E09000001,City of London,2013,39,6.500 %/person,NaN,2.9,6000,"2,069",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,B,00AB
E09000001,City of London,2014,34,5.574 %/person,NaN,2.9,6100,"2,103",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,C,00AB
E09000001,City of London,2015,31,4.627 %/person,NaN,2.9,6700,"2,310",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,C,00AB
E09000001,City of London,2016,29,4.028 %/person,NaN,2.9,7200,"2,483",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,D,00AB
E09000001,City of London,2017,29,3.766 %/person,NaN,2.9,7700,"2,655",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,D,00AB
E09000001,City of London,2018,30,3.448 %/person,NaN,2.9,8700,"3,000",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,C,00AB
E09000001,City of London,2019,29,2.990 %/person,NaN,2.9,9700,"3,345",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,D,00AB
E09000001,City of London,2020,30,3.093 %/person,NaN,2.9,9700,"3,345",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,C,00AB
E09000001,City of London,2021,32,3.333 %/person,NaN,2.9,9600,"3,310",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,C,00AB
E09000001,City of London,2022,30,3.158 %/person,NaN,2.9,9500,"3,276",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Core London,Central,EC1,C,00AB
E09000008,Croydon,2003,14,0.034 %/person,NaN,86.5,414800,"4,795",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,E,00AH
E09000008,Croydon,2004,13,0.031 %/person,NaN,86.5,414800,"4,795",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,E,00AH
E09000008,Croydon,2005,16,0.039 %/person,NaN,86.5,414700,"4,794",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,E,00AH
E09000008,Croydon,2006,20,0.048 %/person,NaN,86.5,414600,"4,793",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,E,00AH
E09000008,Croydon,2007,23,0.055 %/person,0.627 kg,86.5,414600,"4,793",3.5%,300.6%,24.3%,3,21,260,Outer London,South West,CR0,E,00AH
E09000008,Croydon,2008,28,0.068 %/person,NaN,86.5,413900,"4,785",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,D,00AH
E09000008,Croydon,2009,32,0.077 %/person,NaN,86.5,413000,"4,775",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,C,00AH
E09000008,Croydon,2010,34,0.095 %/person,NaN,86.5,358000,"4,139",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,C,00AH
E09000008,Croydon,2011,38,0.104 %/person,NaN,86.5,364800,"4,217",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,B,00AH
E09000008,Croydon,2012,44,0.119 %/person,NaN,86.5,369200,"4,268",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,A,00AH
E09000008,Croydon,2013,42,0.112 %/person,NaN,86.5,373600,"4,319",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,B,00AH
E09000008,Croydon,2014,40,0.106 %/person,NaN,86.5,377100,"4,360",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,B,00AH
E09000008,Croydon,2015,38,0.100 %/person,NaN,86.5,380100,"4,394",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,B,00AH
E09000008,Croydon,2016,39,0.102 %/person,NaN,86.5,383300,"4,431",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,B,00AH
E09000008,Croydon,2017,38,0.099 %/person,NaN,86.5,384800,"4,449",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,B,00AH
E09000008,Croydon,2018,47,0.122 %/person,NaN,86.5,385300,"4,454",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,A,00AH
E09000008,Croydon,2019,49,0.127 %/person,NaN,86.5,386700,"4,471",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,A,00AH
E09000008,Croydon,2020,41,0.106 %/person,NaN,86.5,388400,"4,490",NaN%,NaN%,NaN%,Unknown,Unknown,Unknown,Outer London,South West,CR0,B,00AH
